亲情主题,故事情节,创意,品牌,产品,画面,场景,色调,人物,音乐,时长,广告语
陪伴和家庭的温馨,无,无,无,无,无,无,无,无,无,无,无
无,无,简单明了,无,无,无,无,无,模特好看,无,无,无
无,很有故事性,无,无,无,无,无,无,无,无,无,无
无,无,无,无,无,生动形容,无,无,无,无,无,无
无,无,无,无,无,看起来似乎非常高端,无,无,无,无,无,无
无,无,无,维他奶,维他奶,轻松运动,补充口感好而又营养的维他奶,无,无,无,无,无
无,无,简单明了，很容易理解，有足够的吸引力,无,无,无,无,无,无,无,无,无
体现了家人的暖心支持,无,无,无,无,无,无,无,无,无,无,无
无,无,生活味很浓烈，让人产生共鸣,无,无,无,无,无,无,无,无,无
无,无,无,维他奶,好喝又健康,无,无,无,无,无,无,天然的
家庭氛围强的，有爱的，温馨的,无,无,无,无,无,无,无,无,无,无,无
无,无,无,非常的高端,健康营养,无,无,无,无,无,无,无
妈妈陪女儿到深夜，并为女儿准备宵夜和维他奶,广告中的女生坚持健身直播到深夜，妈妈也陪着她,无,维他奶,维他奶,无,女生健身直播到深夜，妈妈为女儿准备食物的家庭环境,无,广告中的女生和她的妈妈,无,无,无
温情,无,无,无,无,无,无,无,无,无,无,无
无,无,广告里的演员，配合肢体，靓丽演绎，前后搭配的很好,维他奶,无,靓丽演绎，前后搭配的很好,无,无,演员,无,无,无
无,无,生活方式积极向上,无,无,无,无,无,无,无,无,无
关爱家人,无,无,无,无,无,无,温馨,无,无,无,无
温馨感,无,很好,无,无,无,无,无,无,无,无,无
无,无,无,维他奶,维他奶,维他奶图片,无,无,无,无,无,广告语比较喜欢
无,无,娱乐性,维他奶,无,无,无,无,无,无,无,无
